Date,TCS,INFY,WIPRO,TECHM,HCLTECH,MPHASIS,HDFCBANK,ICICIBANK,KOTAKBANK,AXISBANK,SBIN,INDUSINDBK,BANDHANBNK,BAJFINANCE,BAJAJFINSV,HDFCAMC,SBILIFE,ICICIPRU,RELIANCE,ONGC,BPCL,POWERGRID,NTPC,HINDUNILVR,ITC,NESTLEIND,BRITANNIA,DABUR,MARUTI,TATAMOTORS,BAJAJ-AUTO,HEROMOTOCO,EICHERMOT,SUNPHARMA,DRREDDY,CIPLA,DIVISLAB,TITAN,ASIANPAINT,PIDILITIND,HAVELLS,BHARTIARTL,LT,ADANIPORTS,SIEMENS,ABB,ULTRACEMCO,AMBUJACEM,JSWSTEEL,TATASTEEL
2016-06-13,1662.37,1022.19,441.14,1086.92,1038.67,746.24,909.55,222.48,720.09,616.65,244.33,762.72,471.77,1860.06,1251.49,3534.09,791.86,370.66,1250.6,288.99,338.27,153.56,148.06,742.54,339.09,7803.12,2415.98,466.71,7602.32,230.76,2521.6,3911.46,3228.75,923.94,5519.71,689.03,2603.04,435.15,729.17,1068.66,251.85,310.88,1175.61,275.07,1900.52,1086.32,2821.71,370.83,174.89,385.46
2016-06-14,1647.9,1015.31,440.2,1108.84,1051.63,746.55,911.31,223.1,710.64,611.49,251.59,767.48,473.47,1818.17,1245.68,3503.51,775.22,381.21,1255.14,291.91,350.06,154.15,149.34,741.41,340.95,7885.98,2416.95,468.3,7773.2,235.04,2516.39,3866.46,3233.16,946.87,5599.88,682.55,2622.92,441.78,732.81,1083.26,252.91,313.22,1192.06,274.42,1864.66,1077.84,2817.78,369.25,177.94,389.97
2016-06-15,1673.06,1027.69,447.81,1171.05,1043.67,746.63,925.76,228.36,725.06,627.32,253.83,786.44,502.68,1848.89,1264.04,3585.48,789.48,383.21,1263.81,286.68,366.16,155.37,151.34,743.01,341.3,8040.82,2455.94,476.85,7762.91,233.5,2545.55,3899.72,3241.26,966.34,5726.06,682.0,2642.46,451.05,742.92,1115.11,251.85,314.82,1210.83,271.13,1868.1,1085.07,2937.7,376.88,181.21,396.48
2016-06-16,1664.28,1002.68,445.17,1177.93,1019.3,760.2,924.49,226.91,717.15,624.26,255.85,788.6,502.22,1832.09,1248.3,3518.93,786.68,379.43,1249.93,288.61,376.81,153.35,149.71,729.9,338.65,7971.25,2463.29,468.91,7829.56,228.23,2556.81,3877.6,3228.53,971.95,5748.1,669.88,2598.24,454.27,745.98,1109.37,254.96,320.09,1227.06,269.21,1854.51,1094.63,2905.21,380.63,182.78,392.47
2016-06-17,1693.1,984.56,448.38,1189.34,1010.73,747.54,935.43,221.74,720.99,635.95,254.96,800.89,504.91,1823.08,1236.13,3551.84,774.84,386.25,1251.01,292.6,365.49,153.15,149.05,726.96,335.84,8018.94,2472.29,474.15,7974.88,221.3,2525.24,3804.95,3190.51,965.8,5706.07,662.11,2590.91,446.68,737.59,1098.8,257.21,316.85,1207.78,262.73,1798.24,1087.33,2907.31,373.63,180.11,394.69
2016-06-20,1684.36,984.89,447.66,1161.78,1010.19,750.3,918.0,223.89,712.77,648.24,248.88,773.87,496.21,1792.95,1226.55,3543.73,781.49,379.62,1250.48,287.38,367.85,152.06,149.65,722.09,336.12,8021.78,2495.09,478.68,8060.42,219.36,2517.79,3843.58,3185.21,962.83,5671.58,655.11,2574.22,432.78,748.38,1069.33,255.3,312.22,1207.56,257.94,1783.95,1104.94,2840.1,375.89,174.27,407.55
2016-06-21,1643.84,969.84,445.25,1121.94,988.97,737.06,910.04,219.52,702.58,638.14,245.46,748.09,490.07,1771.33,1187.21,3460.7,774.66,374.04,1253.12,276.35,365.53,150.24,146.41,714.01,330.59,7935.51,2487.52,469.74,8124.31,220.52,2442.52,3826.39,3123.07,939.89,5596.21,638.39,2564.06,431.72,743.12,1066.78,249.26,299.27,1190.79,257.5,1800.11,1083.94,2797.29,376.66,171.71,394.75
2016-06-22,1639.99,976.97,437.14,1106.99,983.37,731.83,906.35,220.65,692.9,625.26,253.15,752.05,492.71,1826.88,1201.41,3349.64,786.95,378.85,1232.74,272.85,368.81,150.22,148.8,718.32,332.37,7849.91,2444.09,472.59,8139.69,223.32,2445.23,3825.07,3067.15,934.37,5624.19,639.56,2590.12,438.69,731.77,1051.24,252.39,309.96,1177.94,258.68,1778.96,1062.14,2831.1,376.39,170.18,386.59
2016-06-23,1636.2,963.12,433.14,1085.24,998.76,715.09,899.06,221.31,696.18,615.97,257.24,761.37,498.14,1843.38,1177.94,3255.42,774.84,376.19,1233.99,279.9,368.27,148.18,147.66,709.69,327.24,7933.54,2376.24,469.51,8031.72,221.57,2451.41,3803.34,3029.0,940.95,5563.02,627.23,2613.7,434.62,716.28,1051.61,252.14,308.8,1174.59,259.37,1781.19,1078.99,2792.85,375.95,166.71,388.73
2016-06-24,1651.24,964.77,441.49,1096.01,994.36,720.45,909.86,221.12,696.61,634.91,259.69,783.03,505.96,1800.2,1162.93,3223.57,792.13,376.5,1240.29,282.49,356.94,149.69,145.99,713.26,330.32,7922.31,2372.31,470.91,7942.15,220.76,2438.89,3740.39,3024.02,944.18,5631.6,634.95,2609.78,437.35,723.2,1046.05,253.07,310.39,1174.21,262.22,1761.9,1081.62,2825.52,375.94,158.5,388.36
2016-06-27,1669.8,968.85,447.64,1123.92,979.86,705.92,915.02,221.72,705.25,637.81,260.01,767.72,519.42,1839.55,1171.51,3262.79,785.52,382.79,1223.67,279.32,363.58,149.39,147.48,722.6,330.18,7991.33,2377.15,475.52,7911.8,216.68,2415.14,3709.45,3014.33,953.01,5659.96,629.72,2632.57,434.95,724.05,1064.78,257.63,311.69,1181.3,268.42,1798.14,1073.57,2761.11,379.88,162.02,395.62
2016-06-28,1724.12,979.21,454.99,1138.68,989.99,692.25,924.08,224.49,701.22,665.33,257.07,783.45,532.83,1883.1,1183.52,3267.03,807.98,381.41,1247.05,279.06,364.9,152.82,148.88,736.88,333.66,7958.76,2420.47,481.11,8031.25,221.42,2450.27,3827.8,3075.66,979.63,5683.09,639.75,2662.54,447.02,733.95,1081.86,258.92,317.15,1190.97,267.33,1822.57,1090.23,2764.42,378.01,162.13,396.49
2016-06-29,1721.83,989.94,455.05,1134.38,981.51,690.12,939.1,219.18,698.75,687.89,264.14,801.26,536.06,1892.53,1193.04,3253.1,820.27,382.28,1259.2,276.35,364.66,153.72,149.2,738.71,336.81,8089.65,2456.8,479.45,8207.76,219.06,2473.42,3837.01,3040.21,978.45,5671.74,644.35,2633.81,448.13,732.63,1081.55,256.73,316.6,1188.48,269.19,1792.49,1080.3,2761.59,383.28,165.0,403.34
2016-06-30,1704.61,974.7,448.91,1134.65,984.58,691.74,931.73,219.58,697.99,704.27,273.72,814.48,538.82,1913.34,1220.96,3278.37,829.42,391.01,1272.18,274.15,363.56,151.97,148.07,725.79,332.91,8125.59,2475.13,473.0,8050.27,219.9,2428.74,3811.42,3034.69,1009.34,5625.6,644.86,2624.93,441.32,724.34,1084.47,254.28,319.0,1183.94,270.3,1829.97,1071.54,2686.08,384.97,165.27,398.23
2016-07-01,1669.24,977.16,444.94,1121.12,987.18,679.18,938.36,218.74,690.66,693.27,277.62,793.61,557.52,1941.89,1168.33,3314.51,815.41,388.42,1224.65,273.34,367.61,150.69,146.6,720.21,330.61,7995.56,2448.27,467.33,8166.31,224.17,2429.18,3787.46,3094.64,1003.36,5526.56,646.21,2586.49,440.1,719.28,1084.94,253.64,315.6,1181.23,268.37,1835.06,1062.19,2717.02,379.04,162.86,401.69
2016-07-04,1686.83,993.4,449.64,1118.01,989.6,664.38,944.57,222.69,700.55,708.14,282.2,811.32,561.58,1942.95,1157.55,3348.95,815.71,387.46,1203.38,271.91,377.73,150.45,148.06,729.95,334.09,8025.96,2442.13,471.63,8150.93,223.25,2492.89,3723.39,3136.12,1006.79,5633.78,648.62,2616.91,448.02,721.59,1095.48,251.84,313.33,1160.72,275.52,1841.47,1077.53,2741.84,384.2,161.21,403.75
2016-07-05,1662.26,978.33,437.52,1108.42,987.82,676.56,942.71,216.5,690.09,708.06,277.1,805.0,560.33,1936.49,1152.05,3312.79,823.53,382.01,1199.05,269.42,372.61,149.36,143.7,729.1,334.74,7892.12,2409.24,469.97,8074.63,221.92,2502.52,3664.11,3219.8,991.84,5630.77,650.03,2637.41,446.42,709.85,1079.0,251.49,315.15,1138.79,273.13,1836.06,1057.47,2751.16,380.31,162.57,407.67
2016-07-06,1703.21,998.04,452.82,1131.19,991.13,706.03,944.29,219.95,697.92,729.48,276.21,809.63,561.22,1948.0,1149.63,3336.23,844.38,388.87,1220.02,265.26,378.25,149.75,144.6,742.5,339.31,8032.07,2450.24,480.83,8240.98,224.04,2457.37,3712.78,3263.2,994.42,5621.7,659.59,2674.73,437.76,726.73,1078.8,253.79,319.43,1148.72,274.36,1870.32,1066.44,2789.03,393.66,163.91,417.26
2016-07-07,1712.56,1012.15,463.38,1119.41,1012.15,719.64,948.25,218.56,702.97,727.79,275.91,821.1,559.11,1976.38,1143.47,3425.36,870.3,391.61,1238.02,268.61,381.61,150.63,146.12,751.35,344.65,8156.35,2512.73,486.81,8332.53,232.13,2503.12,3715.82,3354.66,1012.61,5674.16,659.57,2664.94,440.03,740.88,1100.36,257.07,321.6,1181.82,272.93,1857.21,1080.03,2828.17,403.24,165.67,414.28
2016-07-08,1738.3,1016.73,468.39,1089.56,1003.68,714.65,950.22,222.25,704.93,727.68,271.37,816.76,566.3,1934.2,1144.81,3398.66,875.86,394.72,1241.48,269.58,384.5,149.95,145.55,743.13,342.19,8158.31,2529.6,482.97,8418.12,231.3,2482.14,3684.67,3391.56,1018.57,5660.96,651.35,2709.0,432.05,751.74,1102.1,258.13,319.23,1184.12,274.93,1810.91,1087.62,2800.83,400.43,166.87,414.02
2016-07-11,1696.0,1005.75,466.28,1066.41,1012.19,711.87,927.43,218.9,693.68,731.02,271.85,806.11,570.19,1957.8,1145.03,3349.68,858.37,387.16,1195.39,268.44,374.11,146.34,143.51,739.11,337.86,8125.59,2504.3,480.91,8126.4,231.5,2400.99,3693.83,3350.88,1009.13,5654.88,651.28,2661.27,428.43,747.55,1119.24,256.0,312.65,1163.58,271.26,1777.26,1071.79,2766.86,393.99,168.15,399.74
2016-07-12,1720.72,1026.1,468.8,1078.05,1012.96,721.29,952.84,223.46,700.35,757.47,279.47,809.35,587.49,2024.23,1136.91,3370.48,866.5,394.13,1196.68,266.28,385.9,147.14,146.18,757.26,342.34,8289.45,2522.66,485.11,8304.64,231.58,2414.67,3737.78,3378.69,1012.11,5767.81,655.88,2663.82,438.52,757.17,1124.44,255.94,314.98,1170.71,277.54,1839.85,1088.47,2765.71,398.8,169.17,407.11
2016-07-13,1735.68,1049.99,470.49,1061.07,1007.56,726.56,948.34,227.55,711.54,738.9,276.3,809.82,594.54,2041.2,1161.16,3385.65,868.94,393.79,1216.49,263.66,390.19,146.48,146.44,762.06,340.74,8297.22,2507.59,483.84,8300.48,231.94,2415.17,3696.26,3342.32,1001.06,5640.83,660.85,2615.55,434.46,760.71,1113.06,254.35,319.8,1159.58,282.35,1867.75,1085.51,2781.18,402.92,170.18,419.06
2016-07-14,1758.63,1065.61,472.3,1093.98,1013.31,739.66,963.95,228.95,723.82,768.89,276.25,824.55,620.14,2119.4,1212.09,3413.44,888.8,402.17,1236.49,265.4,403.43,147.19,147.86,777.99,342.1,8366.91,2533.94,494.05,8346.7,231.71,2427.15,3718.31,3331.2,1008.27,5655.59,674.85,2656.04,437.45,770.53,1111.56,258.88,321.17,1169.5,286.86,1891.4,1109.63,2849.59,399.61,174.9,418.92
2016-07-15,1725.33,1060.33,478.88,1096.28,1011.65,739.12,966.36,225.87,728.75,762.86,275.13,816.62,596.14,2113.25,1226.7,3402.74,887.0,401.84,1209.29,262.44,399.54,150.41,148.74,772.32,337.52,8363.31,2496.59,491.91,8211.01,238.92,2416.12,3724.44,3299.03,1010.99,5537.73,670.96,2613.15,427.96,759.55,1103.59,260.07,324.17,1130.7,276.02,1867.05,1114.1,2802.24,395.9,170.36,404.76
2016-07-18,1728.86,1057.05,476.56,1101.79,1025.29,733.41,979.55,224.37,717.36,744.63,267.69,799.24,591.34,2113.86,1228.88,3421.27,905.76,402.92,1198.97,262.75,397.82,151.67,149.72,784.56,335.17,8400.6,2478.96,482.17,8252.26,230.81,2414.07,3705.94,3329.6,981.96,5543.55,662.8,2586.69,426.27,761.73,1124.52,261.86,318.25,1130.21,279.38,1846.79,1102.2,2749.5,399.41,173.04,406.87
2016-07-19,1731.6,1042.06,474.19,1113.73,1029.78,734.23,971.44,228.58,725.9,731.59,268.32,789.65,600.9,2120.12,1220.64,3532.15,925.47,404.03,1210.05,266.49,392.68,154.27,152.0,793.09,338.52,8385.21,2456.16,477.09,8312.87,229.7,2384.33,3737.07,3310.72,980.58,5606.29,658.54,2582.67,418.01,753.65,1125.78,263.23,325.97,1144.84,284.45,1857.38,1121.73,2766.81,401.95,174.3,398.58
2016-07-20,1697.48,1023.45,471.71,1117.05,1052.98,740.21,975.79,231.39,739.72,694.63,270.62,800.79,594.48,2111.87,1253.55,3573.27,927.39,408.81,1210.46,264.87,391.32,152.45,153.11,794.51,338.47,8469.81,2450.42,478.25,8351.17,226.3,2373.17,3803.78,3249.5,982.04,5755.05,666.66,2598.58,416.18,771.21,1126.48,265.33,319.06,1162.95,279.93,1877.83,1124.89,2787.48,397.55,175.39,399.82
2016-07-21,1717.04,1006.67,466.26,1119.8,1039.21,741.61,977.6,232.52,727.57,679.73,271.86,780.35,604.32,2159.86,1262.86,3578.07,932.84,407.76,1208.12,261.66,402.85,150.74,153.91,788.11,342.87,8425.53,2451.35,486.19,8230.04,228.4,2388.34,3777.42,3285.32,993.26,5706.75,676.06,2602.6,410.01,766.99,1119.5,265.62,319.56,1167.87,276.79,1858.7,1112.13,2820.66,394.4,176.1,411.06
2016-07-22,1721.09,1015.26,472.83,1143.46,1042.64,754.72,965.52,237.94,726.49,676.12,274.05,771.52,570.53,2212.48,1287.09,3526.45,948.46,410.77,1246.89,267.04,395.75,151.71,154.65,794.6,346.73,8470.69,2474.37,485.07,8227.35,224.81,2393.55,3786.78,3263.33,988.94,5692.26,678.11,2586.67,412.28,775.99,1137.87,262.5,321.88,1175.4,278.19,1858.73,1103.93,2834.72,388.94,175.94,419.28
2016-07-25,1741.66,1010.43,468.93,1154.63,1026.83,744.28,954.9,236.07,716.72,684.08,268.34,762.83,576.63,2237.42,1288.93,3539.79,953.97,404.66,1236.34,275.83,388.83,152.21,154.53,789.05,347.35,8497.96,2481.87,481.21,8258.53,226.95,2384.69,3785.21,3262.6,975.3,5714.37,682.86,2574.74,413.22,780.23,1121.83,269.11,318.83,1188.34,276.55,1830.69,1116.27,2792.18,387.16,172.23,417.97
2016-07-26,1740.26,1027.28,468.1,1158.58,1020.69,747.18,958.68,236.85,719.2,697.07,265.87,767.17,569.18,2267.95,1275.19,3521.73,953.69,404.62,1233.1,275.23,390.41,151.9,154.4,796.09,347.09,8505.63,2507.41,486.21,8410.27,225.17,2422.23,3806.79,3222.64,976.79,5750.44,684.18,2605.52,410.0,776.48,1117.04,266.37,310.28,1175.28,274.13,1823.44,1121.85,2736.41,386.37,171.78,416.06
2016-07-27,1760.96,1001.45,475.71,1188.99,1015.24,740.92,957.1,239.37,723.53,705.48,256.43,756.96,560.96,2287.24,1288.42,3555.51,947.28,408.47,1233.08,271.3,386.76,151.07,153.74,799.99,349.29,8457.5,2484.52,486.38,8346.13,226.16,2408.96,3842.6,3245.48,972.83,5652.99,686.01,2593.8,404.5,774.07,1115.82,265.45,308.22,1173.85,273.82,1820.73,1127.43,2740.37,389.83,173.45,418.0
2016-07-28,1756.72,1007.71,483.85,1197.04,1004.17,746.04,940.51,236.39,725.8,718.67,256.37,773.21,543.67,2243.18,1293.95,3538.84,947.68,414.75,1234.34,278.92,395.39,152.01,155.34,805.4,355.52,8611.18,2449.5,495.56,8423.46,232.75,2395.3,3826.74,3251.41,990.33,5671.41,687.04,2666.88,407.85,790.68,1122.3,268.25,317.29,1162.07,274.01,1792.04,1139.78,2803.06,387.21,171.11,419.62
2016-07-29,1767.14,1016.27,480.33,1194.74,1018.81,742.23,926.62,240.75,727.91,732.55,255.91,797.31,541.75,2200.92,1302.2,3454.83,940.58,421.79,1251.98,277.6,398.38,152.39,154.36,797.52,350.2,8620.71,2464.17,502.53,8431.54,235.35,2401.71,3826.71,3338.06,980.38,5735.75,687.89,2715.3,402.5,782.79,1125.12,269.43,315.71,1156.33,276.55,1790.77,1100.76,2791.79,391.98,171.09,415.38
2016-08-01,1760.08,1020.71,483.61,1166.58,1020.14,735.35,945.04,237.76,724.87,743.26,253.15,802.81,549.73,2175.13,1272.03,3402.16,953.12,420.55,1245.56,280.68,406.14,151.33,154.21,807.12,351.39,8578.9,2455.61,498.67,8483.73,236.61,2358.22,3755.48,3288.69,981.8,5806.88,680.09,2782.5,393.81,779.12,1102.21,263.88,314.46,1153.96,276.16,1791.2,1094.77,2842.52,394.79,171.6,414.08
2016-08-02,1737.03,1011.96,471.52,1144.51,1005.25,736.91,947.02,236.14,734.88,745.33,256.22,806.47,551.8,2117.43,1273.92,3368.89,937.11,427.43,1230.15,277.26,411.7,150.49,152.31,797.21,347.21,8399.81,2441.61,499.5,8464.42,243.57,2365.04,3730.58,3262.05,957.26,5746.98,676.36,2761.74,390.76,772.05,1087.81,265.06,311.84,1152.67,276.17,1735.76,1084.59,2834.04,400.82,169.19,414.56
2016-08-03,1740.68,1026.63,468.86,1173.76,1019.56,750.31,962.23,240.61,737.95,741.21,261.28,809.46,558.21,2151.48,1306.96,3488.68,957.49,433.56,1256.15,280.47,411.19,152.22,156.21,804.81,343.49,8479.78,2483.56,505.67,8531.25,242.15,2377.87,3791.11,3285.73,971.72,5682.34,680.88,2792.57,390.54,772.45,1086.58,262.83,307.42,1166.28,280.13,1782.02,1087.5,2870.86,405.82,174.44,423.5
2016-08-04,1695.21,1031.86,468.64,1176.96,1017.99,742.94,963.7,239.54,763.86,745.31,260.35,796.62,551.2,2199.68,1307.89,3457.5,955.79,431.73,1250.86,285.44,419.91,150.7,159.37,802.1,346.07,8443.18,2491.29,507.99,8509.92,237.62,2367.58,3756.71,3300.22,971.39,5655.81,671.96,2853.98,397.68,769.06,1081.04,259.12,311.84,1151.04,289.37,1789.19,1113.42,2941.37,408.06,173.6,429.8
2016-08-05,1676.02,1033.43,468.46,1180.02,1012.08,735.95,952.93,235.74,764.74,754.48,259.45,801.38,546.84,2183.52,1314.62,3454.24,957.12,428.4,1264.0,291.7,416.6,150.93,159.9,806.84,345.19,8490.92,2503.99,502.83,8541.83,234.11,2314.0,3797.1,3295.69,953.53,5625.0,664.77,2844.67,392.94,754.5,1084.77,262.17,312.05,1158.46,281.58,1786.39,1084.85,2888.38,407.57,171.66,414.51
2016-08-08,1702.9,1042.52,471.49,1191.85,1027.21,750.88,969.48,238.72,775.77,740.57,266.5,817.43,558.88,2178.96,1343.74,3434.99,966.85,426.19,1261.24,288.32,419.96,154.1,161.82,806.24,345.46,8578.89,2508.31,504.79,8506.02,233.0,2283.45,3926.05,3357.75,972.89,5634.11,675.69,2884.56,399.6,762.7,1087.8,266.13,317.46,1169.45,291.83,1817.11,1087.38,2987.42,410.45,167.23,417.92
2016-08-09,1685.03,1070.16,474.96,1177.63,1030.0,771.91,960.0,240.77,790.58,744.29,271.8,815.12,563.54,2130.81,1353.48,3438.71,958.09,427.51,1278.62,289.57,414.23,153.42,161.86,811.68,350.01,8537.44,2510.28,502.49,8471.6,234.96,2264.0,3927.99,3356.0,973.24,5615.19,671.83,2896.24,400.79,768.17,1067.84,262.55,321.03,1170.53,290.54,1812.85,1093.99,2980.7,422.38,170.81,427.24
2016-08-10,1686.19,1090.08,478.74,1187.71,1042.78,790.19,975.73,244.32,801.51,745.53,270.72,821.74,571.76,2039.35,1316.69,3445.39,984.3,425.37,1263.96,290.36,421.72,155.61,163.96,813.22,351.01,8524.34,2510.64,500.89,8592.72,237.36,2260.34,3914.61,3373.71,969.63,5626.4,664.7,2920.77,402.26,770.56,1085.56,265.84,322.32,1193.08,300.14,1827.88,1133.59,2996.45,418.09,168.26,427.2
2016-08-11,1661.95,1091.68,468.02,1174.72,1019.52,782.94,982.63,245.27,807.48,735.26,268.98,823.42,564.54,2041.9,1337.79,3417.83,984.09,421.34,1259.81,290.19,423.55,154.42,163.21,814.36,350.24,8484.4,2490.2,500.54,8498.48,238.0,2269.25,3938.17,3327.26,989.59,5551.68,664.83,2962.01,406.6,771.93,1093.2,261.75,329.84,1197.97,303.34,1884.13,1122.29,3032.31,409.63,170.68,432.41
2016-08-12,1687.34,1096.99,473.11,1183.71,1042.69,791.55,996.3,245.07,808.87,746.76,269.95,834.51,567.44,2125.17,1378.62,3411.67,997.08,431.27,1262.54,296.49,428.33,156.53,166.55,828.13,356.92,8592.69,2548.86,502.41,8716.53,246.56,2283.44,3938.56,3292.49,1029.9,5636.91,681.06,2930.22,423.04,770.13,1094.44,266.27,330.68,1217.73,308.33,1943.78,1138.2,3146.71,413.7,177.57,450.24
2016-08-15,1693.5,1106.23,471.19,1185.14,1071.41,804.98,1011.61,245.92,819.26,759.47,271.93,855.95,568.68,2157.63,1389.15,3501.63,999.46,446.7,1260.62,300.36,434.16,156.29,166.78,853.87,362.4,8671.0,2560.59,506.46,8689.04,254.09,2263.12,4000.51,3307.55,1047.19,5701.58,691.43,2961.61,424.75,780.67,1104.09,271.91,332.96,1198.78,311.02,1934.4,1149.61,3156.73,421.79,182.24,463.07
2016-08-16,1715.14,1125.6,471.47,1193.07,1084.94,809.23,1009.08,248.71,811.65,750.35,265.71,834.84,573.56,2159.7,1395.62,3516.46,989.56,441.22,1256.88,295.43,437.63,154.12,166.92,848.7,364.91,8718.62,2562.37,510.14,8551.23,257.36,2250.22,4013.49,3401.55,1040.82,5716.27,698.89,2976.9,424.53,786.77,1112.56,280.35,335.88,1200.0,317.21,1930.7,1160.34,3184.3,420.65,182.36,459.88
2016-08-17,1737.67,1101.53,467.89,1212.09,1084.65,816.15,1018.69,250.53,802.85,756.97,266.21,835.54,561.38,2175.52,1414.96,3590.57,987.19,443.91,1264.23,300.25,445.21,153.99,167.92,838.96,365.64,8836.31,2603.69,509.5,8664.92,258.0,2266.23,4044.13,3415.14,1062.32,5777.95,709.45,3109.1,423.84,784.88,1110.93,280.38,341.95,1212.54,314.6,1969.92,1169.62,3296.88,418.65,187.25,449.17
